"Name","Gender","Religion","Cast","Country"
"Bhooma Roopa","Female","hindu","","India"
"Bhuvaneshwari","Female","hindu","","India"
"Bindhu Tharpana Santhushta","Female","hindu","","India"
"Bindu Mandala Vaasini","Female","hindu","","India"
"Bisa Thanthu Thaniyasi","Female","hindu","","India"
"Brahma Roopa","Female","hindu","","India"
"Brahmananda","Female","hindu","","India"
"Brahmani","Female","hindu","","India"
"Maha Padma Davi Samstha","Female","hindu","","India"
"Maha Pasupathasthragni Nirdagdhasura Sainika","Female","hindu","","India"
"Maha Pathaka Nasini","Female","hindu","","India"
"Maha Poojya","Female","hindu","","India"
"Maha Pralaya Sakshini","Female","hindu","","India"
"Maha Rathi","Female","hindu","","India"
"Maha Roopa","Female","hindu","","India"
"Maha Sakthi","Female","hindu","","India"
"Maha Samrajya Shalini","Female","hindu","","India"
"Maha Sathva","Female","hindu","","India"
"Maha Sidhi","Female","hindu","","India"
"Maha Ssakthya","Female","hindu","","India"
"Maha Tripura Sundari","Female","hindu","","India"
"Maha Veerendra Varadha","Female","hindu","","India"
"Maha Veerya","Female","hindu","","India"
"Maha Vidhya","Female","hindu","","India"
"Maha Yaga Kramaradhya","Female","hindu","","India"
"Maha Yogeswareswari","Female","hindu","","India"
"Mahaa Devi","Female","hindu","","India"
"Mahaganesha Nirbhinna Vignayanthra Praharshitha","Female","hindu","","India"
"Mahaiswarya","Female","hindu","","India"
"Mahamanthra","Female","hindu","","India"
"Mahaneeya","Female","hindu","","India"
"Mahasana","Female","hindu","","India"
"Mahathanthra","Female","hindu","","India"
"Anargya Kaivalya Pada Dhayini","Female","hindu","","India"
"Anavadhyangi","Female","hindu","","India"
"Aneka Koti Bramanda Janani","Female","hindu","","India"
"Anithya Thriptha","Female","hindu","","India"
"Ankusathi Praharana","Female","hindu","","India"
"Annadha","Female","hindu","","India"
"Anthar Mukha Samaradhya","Female","hindu","","India"
"Anugrahada","Female","hindu","","India"
"Anuthama","Female","hindu","","India"
"Aparichedya","Female","hindu","","India"
"Aparna","Female","hindu","","India"
"Aprameya","Female","hindu","","India"
"Arunaruna Kausumba Vasthra Bhaswat Kati Thati","Female","hindu","","India"
"Ashta Moorthy","Female","hindu","","India"
"Ashtami Chandra Vibhraja","Female","hindu","","India"
"Aswaroodadishidaswa Kodi Kodi Biravrutha","Female","hindu","","India"
"Atma","Female","hindu","","India"
"Atma Vidhya","Female","hindu","","India"
"Avaradha","Female","hindu","","India"
"Avyaja Karuna Moorhy","Female","hindu","","India"
"Avyaktha","Female","hindu","","India"
"Ayee","Female","hindu","","India"
"Ayoni","Female","hindu","","India"
"Bahir Mukha Sudurlabha","Female","hindu","","India"
"Bahu Roopa","Female","hindu","","India"
"Hara Nethragni Sandhagdha Kama Sanjeevanoushadhi","Female","hindu","","India"
"Hardrannaika Rasika","Female","hindu","","India"
"Hari Brahmendra Sevitha","Female","hindu","","India"
"Harimathi","Female","hindu","","India"
"Heyopadeya Varjitha","Female","hindu","","India"
"Hridayastha","Female","hindu","","India"
"Hrim Kari","Female","hindu","","India"
"Hrudya","Female","hindu","","India"
"Iccha Shakthignana Shakthikriya Shakthi Swaroopini","Female","hindu","","India"
"Indra Dhanu Prabha","Female","hindu","","India"
"Indra Kopa Parikshiptha Smarathunabha Jangika","Female","hindu","","India"
"Jada Shakthi","Female","hindu","","India"
"Jadathmikha","Female","hindu","","India"
"Jagarini","Female","hindu","","India"
"Jagat Dhathri","Female","hindu","","India"
"Jagathi Kandha","Female","hindu","","India"
"Jalandhara Sthitha","Female","hindu","","India"
"Janani","Female","hindu","","India"
"Janma Mrutyu Jara Thaptha Jana Vishranthi Dhayini","Female","hindu","","India"
"Japapushpa Nibhakrithi","Female","hindu","","India"
"Jaradwanthara Viprabha","Female","hindu","","India"
"Jayaa","Female","hindu","","India"
"Jayatsena","Female","hindu","","India"
"Jwalimalika Ksiptha Vanhi Prakara Madhyaka","Female","hindu","","India"
"Kaamya","Female","hindu","","India"
"Triparna","Female","hindu","","India"
"Tripta","Female","hindu","","India"
"Tripti","Female","hindu","","India"
"Tripurasundari","Female","hindu","","India"
"Tripuri","Female","hindu","","India"
"Triputa","Female","hindu","","India"
"Trisha","Female","hindu","","India"
"Trishala","Female","hindu","","India"
"Trishna","Female","hindu","","India"
"Trishulini","Female","hindu","","India"
"Triti","Female","hindu","","India"
"Triveni","Female","hindu","","India"
"Triya","Female","hindu","","India"
"Triyama","Female","hindu","","India"
"Trupti","Female","hindu","","India"
"Trusha","Female","hindu","","India"
"Tuhi","Female","hindu","","India"
"Tuhina","Female","hindu","","India"
"Tula","Female","hindu","","India"
"Tulasi","Female","hindu","","India"
"Tulika","Female","hindu","","India"
"Tulsi","Female","hindu","","India"
"Tulya","Female","hindu","","India"
"Turanya","Female","hindu","","India"
"Turvi","Female","hindu","","India"
"Siddhidhata","Male","hindu","","India"
"Siddhipriya","Male","hindu","","India"
"Siddhivinayaka","Male","hindu","","India"
"Skandapurvaja","Male","hindu","","India"
"Sumukha","Male","hindu","","India"
"Sureshwaram","Male","hindu","","India"
"Swaroop","Male","hindu","","India"
"Tarun","Male","hindu","","India"
"Uddanda","Male","hindu","","India"
"Umaputra","Male","hindu","","India"
"Vakratunda","Male","hindu","","India"
"Varadavinayaka","Male","hindu","","India"
"Varaganapati","Male","hindu","","India"
"Varaprada","Male","hindu","","India"
"Veeraganapati","Male","hindu","","India"
"Vidyavaridhi","Male","hindu","","India"
"Vighnahara","Male","hindu","","India"
"Vighnaraja","Male","hindu","","India"
"Vighnarajendra","Male","hindu","","India"
"Vighnavinashanaya","Male","hindu","","India"
"Vignaharta","Male","hindu","","India"
"Vigneshwara","Male","hindu","","India"
"Vikat","Male","hindu","","India"
"Vinayaka","Male","hindu","","India"
"Vishwamukha","Male","hindu","","India"
"Mahathi","Female","hindu","","India"
"Mahayanthra","Female","hindu","","India"
"Mahee","Female","hindu","","India"
"Mahesi","Female","hindu","","India"
"Maheswara Mahakalpa Maha Thandava Sakshini","Female","hindu","","India"
"Maheswaree","Female","hindu","","India"
"Maitryadhi Vasana Labhya","Female","hindu","","India"
"Majja Samstha","Female","hindu","","India"
"Malayachala Vasini","Female","hindu","","India"
"Malini","Female","hindu","","India"
"Mamatha Hanthri","Female","hindu","","India"
"Mamsa Nishta","Female","hindu","","India"
"Manaswaini","Female","hindu","","India"
"Manavathi","Female","hindu","","India"
"Mandasmitha Prabha Poora Majjat Kamesha Manasa","Female","hindu","","India"
"Mandhara Kusuma Priya","Female","hindu","","India"
"Mangala Kruthi","Female","hindu","","India"
"Mani Poorabja Nilaya","Female","hindu","","India"
"Mani Poorantharudhitha","Female","hindu","","India"
"Manikhya Mukuta Kara Janu Dwaya Virajitha","Female","hindu","","India"
"Mano Rupeshu Kodanda","Female","hindu","","India"
"Mano Vachama Gochara","Female","hindu","","India"
"Manomayi","Female","hindu","","India"
"Manonmani","Female","hindu","","India"
"Manthra Sara","Female","hindu","","India"
